user_id,product_id,rating
1,11,4
1,33,5
1,40,5
1,45,4
1,56,5
1,80,4
1,94,5
1,126,4
1,137,3
1,156,2
1,170,3
1,176,4
1,192,4
2,9,5
2,12,2
2,37,4
2,50,1
2,51,2
2,52,3
2,67,3
2,93,3
2,94,3
2,98,4
2,106,2
2,109,3
2,118,4
2,120,3
2,123,5
2,145,3
2,149,4
2,154,3
2,161,3
2,162,2
2,196,2
2,199,3
3,40,4
3,75,1
3,84,3
3,92,2
3,102,4
3,118,5
3,126,3
3,130,1
3,138,4
3,156,3
3,199,3
3,200,2
4,5,3
4,21,3
4,50,4
4,60,5
4,63,4
4,64,5
4,74,4
4,78,3
4,87,3
4,90,2
4,96,5
4,114,5
4,134,3
4,137,3
4,149,4
5,4,5
5,14,5
5,19,5
5,29,4
5,34,4
5,62,5
5,76,3
5,82,4
5,93,4
5,94,5
5,99,5
5,100,3
5,108,4
5,127,4
5,128,4
5,136,2
5,140,4
5,146,4
5,153,4
5,164,5
5,166,3
5,175,4
5,197,4
6,6,4
6,13,4
6,30,2
6,38,2
6,46,4
6,48,3
6,56,4
6,93,4
6,99,4
6,138,5
6,143,4
6,149,3
6,163,3
6,192,4
7,9,4
7,14,4
7,37,1
7,46,4
7,56,4
7,59,5
7,60,4
7,70,3
7,80,4
7,89,3
7,108,4
7,115,5
7,148,4
7,151,3
7,154,3
7,155,4
7,171,2
7,186,3
8,9,5
8,14,5
8,18,1
8,33,5
8,35,5
8,44,5
8,46,4
8,59,4
8,74,3
8,76,2
8,77,5
8,88,5
8,98,4
8,102,4
8,108,4
8,112,4
8,125,4
8,138,4
8,185,3
8,186,5
9,9,3
9,10,4
9,30,1
9,44,5
9,63,4
9,64,4
9,74,3
9,76,3
9,77,5
9,84,3
9,111,3
9,118,3
9,145,4
9,153,3
9,155,4
9,164,5
9,182,4
9,184,3
10,11,5
10,43,3
10,46,4
10,47,2
10,57,4
10,63,5
10,71,5
10,73,3
10,77,5
10,79,4
10,102,4
10,107,4
10,109,2
10,134,4
10,138,4
10,140,4
10,142,4
10,148,4
10,150,3
10,161,2
10,164,5
10,177,2
11,10,5
11,21,3
11,26,2
11,33,4
11,43,5
11,99,5
11,111,2
11,124,2
11,152,4
11,153,4
11,157,5
11,176,1
11,177,4
11,183,2
11,191,3
12,7,4
12,13,1
12,33,4
12,34,4
12,49,5
12,50,5
12,51,4
12,53,2
12,61,4
12,64,4
12,81,5
12,106,2
12,109,4
12,114,2
12,127,4
12,129,4
12,133,4
12,136,4
12,145,4
12,157,4
12,175,3
13,1,4
13,6,4
13,10,1
13,17,4
13,26,3
13,27,1
13,43,4
13,65,5
13,102,4
13,103,4
13,117,4
13,123,4
13,158,4
13,190,5
14,2,4
14,6,5
14,19,3
14,28,3
14,36,4
14,47,4
14,48,2
14,51,5
14,69,2
14,81,5
14,86,4
14,101,1
14,142,2
14,151,4
14,158,5
14,198,3
15,6,3
15,10,3
15,25,5
15,36,4
15,40,5
15,60,2
15,64,4
15,68,5
15,71,4
15,81,5
15,92,5
15,94,5
15,118,4
15,131,4
15,142,5
15,143,3
15,147,5
15,150,4
15,177,4
15,198,4
16,3,4
16,9,2
16,17,3
16,22,1
16,28,2
16,44,5
16,47,4
16,61,5
16,83,3
16,89,4
16,91,2
16,129,4
16,137,5
16,147,4
16,160,3
16,171,3
17,17,5
17,22,2
17,31,4
17,36,4
17,49,4
17,61,4
17,75,3
17,81,4
17,83,5
17,102,3
17,113,3
17,117,3
17,120,4
17,123,4
17,129,5
17,143,4
17,169,2
17,179,4
17,200,4
18,4,4
18,44,3
18,47,5
18,54,4
18,57,5
18,76,2
18,104,2
18,117,5
18,127,5
18,135,4
18,144,5
18,157,4
18,160,4
18,161,3
18,179,4
18,196,3
19,8,2
19,29,4
19,30,3
19,36,5
19,52,4
19,69,4
19,72,4
19,83,5
19,98,3
19,106,4
19,120,4
19,122,4
19,132,4
19,136,5
19,151,3
19,153,3
19,154,2
19,158,4
19,178,4
19,181,4
19,186,4
20,1,3
20,3,4
20,17,4
20,23,3
20,37,4
20,54,4
20,74,1
20,103,4
20,120,5
20,123,4
20,127,4
20,129,3
20,132,4
20,136,4
20,158,4
20,174,2
20,178,4
21,6,5
21,12,3
21,18,3
21,35,4
21,80,2
21,107,3
21,112,4
21,123,5
21,137,3
21,161,3
21,174,3
21,180,5
21,199,3
22,8,2
22,19,4
22,36,4
22,66,3
22,75,5
22,89,3
22,101,3
22,103,4
22,116,3
22,126,2
22,127,5
22,129,4
22,131,2
22,136,4
22,137,3
22,140,2
22,143,4
22,147,5
22,179,3
22,194,5
22,200,4
23,9,4
23,23,5
23,32,4
23,61,5
23,71,4
23,84,2
23,101,5
23,109,5
23,113,3
23,139,2
23,163,1
23,167,4
23,182,2
23,196,5
24,22,2
24,48,3
24,57,1
24,66,4
24,72,3
24,78,4
24,87,4
24,90,4
24,113,4
24,117,4
24,138,3
24,171,3
24,197,2
25,5,3
25,15,4
25,20,2
25,21,4
25,39,5
25,40,4
25,42,1
25,48,5
25,65,3
25,66,5
25,76,4
25,82,5
25,84,5
25,87,5
25,109,4
25,165,3
25,170,5
25,173,3
25,174,5
25,191,3
25,199,4
26,8,4
26,25,3
26,37,3
26,41,1
26,66,5
26,73,3
26,77,3
26,82,4
26,85,5
26,91,3
26,106,4
26,113,3
26,119,1
26,122,3
26,128,5
26,165,5
26,188,4
26,199,2
26,200,2
27,1,4
27,8,5
27,15,4
27,17,2
27,26,3
27,62,3
27,101,4
27,116,4
27,131,4
27,177,3
27,187,5
27,195,4
28,1,5
28,6,4
28,14,4
28,32,5
28,50,5
28,65,5
28,71,5
28,83,4
28,105,4
28,110,5
28,111,3
28,117,4
28,137,3
28,144,5
28,158,5
28,165,4
28,167,3
28,173,4
28,174,4
28,175,4
28,178,4
